filename,last_update_time,success,process_time
BasicInfo_1587_吉茂.xls,NEVER,true,2025-08-24 02:31:42
BasicInfo_2301_光寶科.xls,NEVER,true,2025-08-24 02:32:05
BasicInfo_2303_聯電.xls,NEVER,true,2025-08-24 02:32:19
BasicInfo_2308_台達電.xls,NEVER,true,2025-08-24 02:32:32
BasicInfo_2317_鴻海.xls,NEVER,true,2025-08-24 02:32:50
BasicInfo_2324_仁寶.xls,NEVER,true,2025-08-24 02:33:03
BasicInfo_2330_台積電.xls,NEVER,true,2025-08-24 02:33:17
BasicInfo_2332_友訊.xls,NEVER,true,2025-08-24 02:33:37
BasicInfo_2345_智邦.xls,NEVER,true,2025-08-24 02:33:50
BasicInfo_2347_聯強.xls,NEVER,true,2025-08-24 02:34:03
BasicInfo_2353_宏碁.xls,NEVER,true,2025-08-24 02:34:17
BasicInfo_2354_鴻準.xls,NEVER,true,2025-08-24 02:34:30
BasicInfo_2356_英業達.xls,NEVER,false,2025-08-24 02:34:46
BasicInfo_2357_華碩.xls,NEVER,true,2025-08-24 02:36:27
BasicInfo_2359_所羅門.xls,NEVER,false,2025-08-24 02:36:41
BasicInfo_2376_技嘉.xls,NEVER,true,2025-08-24 02:38:22
BasicInfo_2377_微星.xls,NEVER,true,2025-08-24 02:38:39
BasicInfo_2379_瑞昱.xls,NEVER,true,2025-08-24 02:38:52
BasicInfo_2382_廣達.xls,NEVER,false,2025-08-24 02:39:08
BasicInfo_2383_台光電.xls,NEVER,true,2025-08-24 02:40:49
BasicInfo_2395_研華.xls,NEVER,true,2025-08-24 02:41:03
BasicInfo_2405_輔信.xls,NEVER,true,2025-08-24 02:41:18
BasicInfo_2412_中華電.xls,NEVER,true,2025-08-24 02:41:31
BasicInfo_2449_京元電子.xls,NEVER,false,2025-08-24 02:41:45
BasicInfo_2450_神腦.xls,NEVER,true,2025-08-24 02:43:26
BasicInfo_2451_創見.xls,NEVER,true,2025-08-24 02:43:40
BasicInfo_2454_聯發科.xls,NEVER,false,2025-08-24 02:44:23
BasicInfo_2458_義隆.xls,NEVER,false,2025-08-24 02:46:04
BasicInfo_2474_可成.xls,NEVER,true,2025-08-24 02:47:45
BasicInfo_2480_敦陽科.xls,NEVER,true,2025-08-24 02:47:59
BasicInfo_2603_長榮.xls,NEVER,true,2025-08-24 02:48:12
BasicInfo_2646_星宇航空.xls,NEVER,false,2025-08-24 02:48:27
BasicInfo_3014_聯陽.xls,NEVER,true,2025-08-24 02:50:08
BasicInfo_3022_威強電.xls,NEVER,true,2025-08-24 02:50:22
BasicInfo_3026_禾伸堂.xls,NEVER,false,2025-08-24 02:50:36
BasicInfo_3029_零壹.xls,NEVER,false,2025-08-24 02:52:17
BasicInfo_3034_聯詠.xls,NEVER,false,2025-08-24 02:53:58
BasicInfo_3035_智原.xls,NEVER,true,2025-08-24 02:55:39
BasicInfo_3045_台灣大.xls,NEVER,false,2025-08-24 02:55:53
BasicInfo_3048_益登.xls,NEVER,true,2025-08-24 02:57:34
BasicInfo_3150_鈺寶-創.xls,NEVER,true,2025-08-24 02:57:51
BasicInfo_3158_嘉實.xls,NEVER,true,2025-08-24 02:58:04
BasicInfo_3231_緯創.xls,NEVER,false,2025-08-24 02:58:21
BasicInfo_3260_威剛.xls,NEVER,true,2025-08-24 03:00:02
BasicInfo_3293_鈊象.xls,NEVER,true,2025-08-24 03:00:15
BasicInfo_3356_奇偶.xls,NEVER,false,2025-08-24 03:00:30
BasicInfo_3467_台灣精材.xls,NEVER,false,2025-08-24 03:02:11
BasicInfo_3558_神準.xls,NEVER,true,2025-08-24 03:03:52
BasicInfo_4114_健喬.xls,NEVER,true,2025-08-24 03:04:06
BasicInfo_4749_新應材.xls,NEVER,true,2025-08-24 03:04:20
BasicInfo_4938_和碩.xls,NEVER,true,2025-08-24 03:04:34
BasicInfo_4953_緯軟.xls,NEVER,true,2025-08-24 03:04:48
BasicInfo_5203_訊連.xls,NEVER,true,2025-08-24 03:05:05
BasicInfo_5269_祥碩.xls,NEVER,true,2025-08-24 03:05:30
BasicInfo_5274_信驊.xls,NEVER,true,2025-08-24 03:05:44
BasicInfo_5434_崇越.xls,NEVER,true,2025-08-24 03:05:57
BasicInfo_5536_聖暉.xls,NEVER,true,2025-08-24 03:06:13
BasicInfo_5904_寶雅.xls,NEVER,true,2025-08-24 03:06:26
BasicInfo_6035_悠遊卡.xls,NEVER,true,2025-08-24 03:06:42
BasicInfo_6123_上奇.xls,NEVER,true,2025-08-24 03:06:57
BasicInfo_6125_廣運.xls,NEVER,true,2025-08-24 03:07:11
BasicInfo_6182_合晶.xls,NEVER,true,2025-08-24 03:07:33
BasicInfo_6214_精誠.xls,NEVER,true,2025-08-24 03:07:50
BasicInfo_6231_系微.xls,NEVER,false,2025-08-24 03:08:04
BasicInfo_6285_啟碁.xls,NEVER,false,2025-08-24 03:09:45
BasicInfo_6425_易發.xls,NEVER,true,2025-08-24 03:11:26
BasicInfo_6442_光聖.xls,NEVER,true,2025-08-24 03:12:01
BasicInfo_6462_神盾.xls,NEVER,true,2025-08-24 03:12:14
BasicInfo_6506_雙邦.xls,NEVER,false,2025-08-24 03:12:31
BasicInfo_6510_精測.xls,NEVER,true,2025-08-24 03:14:12
BasicInfo_6526_達發.xls,NEVER,false,2025-08-24 03:14:28
BasicInfo_6561_是方.xls,NEVER,false,2025-08-24 03:16:09
BasicInfo_6597_立誠.xls,NEVER,true,2025-08-24 03:17:50
BasicInfo_6613_朋億.xls,NEVER,true,2025-08-24 03:18:03
BasicInfo_6669_緯穎.xls,NEVER,false,2025-08-24 03:18:38
BasicInfo_6690_安碁資訊.xls,NEVER,true,2025-08-24 03:20:19
BasicInfo_6695_芯鼎.xls,NEVER,true,2025-08-24 03:20:40
BasicInfo_6699_奇邑.xls,NEVER,true,2025-08-24 03:20:56
BasicInfo_6720_久昌.xls,NEVER,false,2025-08-24 03:21:09
BasicInfo_6751_智聯服務.xls,NEVER,true,2025-08-24 03:22:50
BasicInfo_6757_台灣虎航.xls,NEVER,true,2025-08-24 03:23:05
BasicInfo_6763_綠界科技.xls,NEVER,true,2025-08-24 03:23:18
BasicInfo_6811_宏碁資訊.xls,NEVER,true,2025-08-24 03:23:33
BasicInfo_6850_光鼎生技.xls,NEVER,true,2025-08-24 03:23:55
BasicInfo_6902_GOGOLOOK.xls,NEVER,true,2025-08-24 03:24:10
BasicInfo_6918_愛派司.xls,NEVER,true,2025-08-24 03:24:24
BasicInfo_6925_意藍.xls,NEVER,true,2025-08-24 03:24:38
BasicInfo_6962_奕力-KY.xls,NEVER,true,2025-08-24 03:24:51
BasicInfo_6996_力領科技.xls,NEVER,true,2025-08-24 03:25:05
BasicInfo_6997_博弘.xls,NEVER,true,2025-08-24 03:25:18
BasicInfo_7547_碩網.xls,NEVER,true,2025-08-24 03:25:32
BasicInfo_7703_銳澤.xls,NEVER,true,2025-08-24 03:25:49
BasicInfo_7704_明遠精密.xls,NEVER,true,2025-08-24 03:26:02
BasicInfo_7705_三商餐飲.xls,NEVER,false,2025-08-24 03:26:18
BasicInfo_7708_全家餐飲.xls,NEVER,false,2025-08-24 03:27:59
BasicInfo_7709_榮田.xls,NEVER,false,2025-08-24 03:29:41
BasicInfo_7712_博盛半導體.xls,NEVER,true,2025-08-24 03:31:22
BasicInfo_7713_威力德生醫.xls,NEVER,true,2025-08-24 03:31:36
BasicInfo_7722_LINEPAY.xls,NEVER,true,2025-08-24 03:31:52
BasicInfo_7728_光焱科技.xls,NEVER,false,2025-08-24 03:32:08
BasicInfo_7732_金興精密.xls,NEVER,false,2025-08-24 03:33:49
BasicInfo_7734_印能科技.xls,NEVER,true,2025-08-24 03:35:30
BasicInfo_7736_虎山.xls,NEVER,false,2025-08-24 03:35:46
BasicInfo_7737_凱鈿.xls,NEVER,false,2025-08-24 03:37:27
BasicInfo_7747_昕奇雲端.xls,NEVER,false,2025-08-24 03:39:08
BasicInfo_7749_意騰-KY.xls,NEVER,false,2025-08-24 03:40:49
BasicInfo_7765_中華資安.xls,NEVER,true,2025-08-24 03:42:31
BasicInfo_7769_鴻勁.xls,NEVER,false,2025-08-24 03:42:46
BasicInfo_7794_宏碁智新.xls,NEVER,true,2025-08-24 03:44:27
BasicInfo_7805_威聯通.xls,NEVER,true,2025-08-24 03:44:41
BasicInfo_8016_矽創.xls,NEVER,true,2025-08-24 03:44:55
BasicInfo_8045_達運光電.xls,NEVER,false,2025-08-24 03:45:09
BasicInfo_8272_全景軟體.xls,NEVER,true,2025-08-24 03:46:50
