filename,last_update_time,success,process_time,retry_count,status,error_reason
ShowMarginChartMonth_2308_台達電.xls,2026-05-22 23:22:00,true,2026-05-22 23:21:45,0,success,
ShowMarginChartMonth_2317_鴻海.xls,2026-05-22 23:22:18,true,2026-05-22 23:22:10,0,success,
ShowMarginChartMonth_2324_仁寶.xls,2026-05-22 23:22:34,true,2026-05-22 23:22:26,0,success,
ShowMarginChartMonth_2330_台積電.xls,2026-05-23 19:25:47,true,2026-05-23 19:25:38,0,success,
ShowMarginChartMonth_2347_聯強.xls,2026-05-23 19:26:05,true,2026-05-23 19:25:58,0,success,
ShowMarginChartMonth_2354_鴻準.xls,2026-05-23 19:26:24,true,2026-05-23 19:26:16,0,success,
ShowMarginChartMonth_2356_英業達.xls,2026-05-23 19:26:43,true,2026-05-23 19:26:35,0,success,
ShowMarginChartMonth_2357_華碩.xls,2026-05-23 19:27:00,true,2026-05-23 19:26:51,0,success,
ShowMarginChartMonth_2376_技嘉.xls,2026-05-23 19:27:21,true,2026-05-23 19:27:13,0,success,
ShowMarginChartMonth_2377_微星.xls,2026-05-23 19:27:39,true,2026-05-23 19:27:30,0,success,
ShowMarginChartMonth_2379_瑞昱.xls,2026-05-23 19:28:02,true,2026-05-23 19:27:52,0,success,
ShowMarginChartMonth_2382_廣達.xls,2026-05-23 19:28:24,true,2026-05-23 19:28:16,0,success,
ShowMarginChartMonth_2395_研華.xls,2026-05-23 19:28:41,true,2026-05-23 19:28:33,0,success,
ShowMarginChartMonth_2405_輔信.xls,2026-05-23 19:29:03,true,2026-05-23 19:28:54,0,success,
ShowMarginChartMonth_2412_中華電.xls,2026-05-23 19:29:20,true,2026-05-23 19:29:11,0,success,
ShowMarginChartMonth_2451_創見.xls,2026-05-23 19:29:36,true,2026-05-23 19:29:29,0,success,
ShowMarginChartMonth_2454_聯發科.xls,2026-05-23 19:29:57,true,2026-05-23 19:29:49,0,success,
ShowMarginChartMonth_2458_義隆.xls,2026-05-23 19:30:14,true,2026-05-23 19:30:05,0,success,
ShowMarginChartMonth_2474_可成.xls,2026-05-23 19:30:35,true,2026-05-23 19:30:28,0,success,
ShowMarginChartMonth_2480_敦陽科.xls,2026-05-23 19:30:54,true,2026-05-23 19:30:46,0,success,
ShowMarginChartMonth_3022_威強電.xls,2026-05-23 19:31:11,true,2026-05-23 19:31:02,0,success,
ShowMarginChartMonth_3026_禾伸堂.xls,2026-05-23 19:31:30,true,2026-05-23 19:31:22,0,success,
ShowMarginChartMonth_3034_聯詠.xls,2026-05-23 19:31:53,true,2026-05-23 19:31:44,0,success,
ShowMarginChartMonth_3045_台灣大.xls,2026-05-23 19:32:16,true,2026-05-23 19:32:07,0,success,
ShowMarginChartMonth_3048_益登.xls,2026-05-23 19:32:36,true,2026-05-23 19:32:28,0,success,
ShowMarginChartMonth_3231_緯創.xls,2026-05-23 19:32:56,true,2026-05-23 19:32:47,0,success,
ShowMarginChartMonth_3356_奇偶.xls,2026-05-23 19:33:15,true,2026-05-23 19:33:07,0,success,
ShowMarginChartMonth_4938_和碩.xls,2026-05-23 19:33:35,true,2026-05-23 19:33:27,0,success,
