filename,last_update_time,success,process_time,retry_count,status,error_reason
ShowMarginChartWeek_2308_台達電.xls,2026-06-13 19:20:42 CST,true,2026-06-13 19:20:32 CST,0,success,
ShowMarginChartWeek_2317_鴻海.xls,2026-06-13 19:21:00 CST,true,2026-06-13 19:20:51 CST,0,success,
ShowMarginChartWeek_2324_仁寶.xls,2026-06-13 19:21:20 CST,true,2026-06-13 19:21:11 CST,0,success,
ShowMarginChartWeek_2330_台積電.xls,2026-06-13 19:21:39 CST,true,2026-06-13 19:21:30 CST,0,success,
ShowMarginChartWeek_2347_聯強.xls,2026-06-13 19:21:55 CST,true,2026-06-13 19:21:47 CST,0,success,
ShowMarginChartWeek_2354_鴻準.xls,2026-06-13 19:22:44 CST,true,2026-06-13 19:22:06 CST,0,success,
ShowMarginChartWeek_2356_英業達.xls,2026-06-13 19:23:03 CST,true,2026-06-13 19:22:55 CST,0,success,
ShowMarginChartWeek_2357_華碩.xls,2026-06-13 19:23:54 CST,true,2026-06-13 19:23:17 CST,0,success,
ShowMarginChartWeek_2376_技嘉.xls,2026-06-13 19:24:12 CST,true,2026-06-13 19:24:04 CST,0,success,
ShowMarginChartWeek_2377_微星.xls,2026-06-13 19:24:29 CST,true,2026-06-13 19:24:21 CST,0,success,
ShowMarginChartWeek_2379_瑞昱.xls,2026-06-13 19:24:54 CST,true,2026-06-13 19:24:43 CST,0,success,
ShowMarginChartWeek_2382_廣達.xls,2026-06-13 19:25:14 CST,true,2026-06-13 19:25:07 CST,0,success,
ShowMarginChartWeek_2395_研華.xls,2026-06-13 19:25:33 CST,true,2026-06-13 19:25:25 CST,0,success,
ShowMarginChartWeek_2405_輔信.xls,2026-06-13 19:25:49 CST,true,2026-06-13 19:25:42 CST,0,success,
ShowMarginChartWeek_2412_中華電.xls,2026-06-13 19:26:08 CST,true,2026-06-13 19:26:01 CST,0,success,
ShowMarginChartWeek_2451_創見.xls,2026-06-13 19:26:28 CST,true,2026-06-13 19:26:19 CST,0,success,
ShowMarginChartWeek_2454_聯發科.xls,2026-06-13 19:26:45 CST,true,2026-06-13 19:26:36 CST,0,success,
ShowMarginChartWeek_2458_義隆.xls,2026-06-13 19:27:03 CST,true,2026-06-13 19:26:55 CST,0,success,
ShowMarginChartWeek_2474_可成.xls,2026-06-13 19:27:20 CST,true,2026-06-13 19:27:12 CST,0,success,
ShowMarginChartWeek_2480_敦陽科.xls,2026-06-13 19:27:37 CST,true,2026-06-13 19:27:29 CST,0,success,
ShowMarginChartWeek_3022_威強電.xls,2026-06-13 19:27:55 CST,true,2026-06-13 19:27:48 CST,0,success,
ShowMarginChartWeek_3026_禾伸堂.xls,2026-06-13 19:28:17 CST,true,2026-06-13 19:28:09 CST,0,success,
ShowMarginChartWeek_3034_聯詠.xls,2026-06-13 19:28:37 CST,true,2026-06-13 19:28:29 CST,0,success,
ShowMarginChartWeek_3045_台灣大.xls,2026-06-13 19:28:56 CST,true,2026-06-13 19:28:47 CST,0,success,
ShowMarginChartWeek_3048_益登.xls,2026-06-13 19:29:17 CST,true,2026-06-13 19:29:09 CST,0,success,
ShowMarginChartWeek_3231_緯創.xls,2026-06-13 19:30:06 CST,true,2026-06-13 19:29:28 CST,0,success,
ShowMarginChartWeek_3356_奇偶.xls,2026-06-13 19:30:24 CST,true,2026-06-13 19:30:17 CST,0,success,
ShowMarginChartWeek_4938_和碩.xls,2026-06-13 19:31:15 CST,true,2026-06-13 19:30:38 CST,0,success,
ShowMarginChartWeek_5203_訊連.xls,2026-06-13 19:31:32 CST,true,2026-06-13 19:31:23 CST,0,success,
ShowMarginChartWeek_6214_精誠.xls,2026-06-13 19:31:49 CST,true,2026-06-13 19:31:41 CST,0,success,
ShowMarginChartWeek_6285_啟碁.xls,2026-06-13 19:32:09 CST,true,2026-06-13 19:32:01 CST,0,success,
ShowMarginChartWeek_6462_神盾.xls,2026-06-13 19:32:31 CST,true,2026-06-13 19:32:24 CST,0,success,
ShowMarginChartWeek_9914_美利達.xls,2026-06-13 19:32:49 CST,true,2026-06-13 19:32:40 CST,0,success,
ShowMarginChartWeek_9921_巨大.xls,2026-06-13 19:33:11 CST,true,2026-06-13 19:33:03 CST,0,success,
ShowMarginChartWeek_8272_全景軟體.xls,2026-06-06 16:21:12 CST,false,2026-06-13 19:33:20 CST,1,rate_limited,GoodInfo rate limited request / 瀏覽量異常
ShowMarginChartWeek_8299_群聯.xls,2026-06-06 16:21:32 CST,true,2026-06-06 16:21:23 CST,0,success,
ShowMarginChartWeek_5434_崇越.xls,2026-06-06 16:21:50 CST,true,2026-06-06 16:21:42 CST,0,success,
ShowMarginChartWeek_6526_達發.xls,2026-06-06 16:22:07 CST,true,2026-06-06 16:22:00 CST,0,success,
ShowMarginChartWeek_2301_光寶科.xls,2026-06-06 16:22:28 CST,true,2026-06-06 16:22:20 CST,0,success,
ShowMarginChartWeek_3035_智原.xls,2026-06-06 16:22:46 CST,true,2026-06-06 16:22:39 CST,0,success,
ShowMarginChartWeek_5269_祥碩.xls,2026-06-06 16:23:08 CST,true,2026-06-06 16:22:59 CST,0,success,
ShowMarginChartWeek_6669_緯穎.xls,2026-06-06 16:23:27 CST,true,2026-06-06 16:23:19 CST,0,success,
ShowMarginChartWeek_6695_芯鼎.xls,2026-06-06 16:26:22 CST,true,2026-06-06 16:26:11 CST,0,success,
ShowMarginChartWeek_6561_是方.xls,2026-06-06 16:28:04 CST,true,2026-06-06 16:27:56 CST,0,success,
ShowMarginChartWeek_7765_中華資安.xls,2026-06-06 16:28:21 CST,true,2026-06-06 16:28:13 CST,0,success,
