filename,last_update_time,success,process_time,retry_count,status,error_reason
ShowMonthlyK_ChartFlow_3661_世芯-KY.xls,2026-05-22 13:47:42,true,2026-05-22 13:47:35,0,success,
ShowMonthlyK_ChartFlow_3260_威剛.xls,2026-05-22 13:43:31,true,2026-05-22 13:43:20,0,success,
ShowMonthlyK_ChartFlow_3150_鈺寶-創.xls,2026-05-18 02:24:57,true,2026-05-18 02:24:50,0,success,
ShowMonthlyK_ChartFlow_2357_華碩.xls,2026-06-17 15:35:37 CST,true,2026-06-17 15:35:30 CST,0,success,
ShowMonthlyK_ChartFlow_6597_立誠.xls,2026-05-22 13:44:51,true,2026-05-22 13:44:43,0,success,
ShowMonthlyK_ChartFlow_4114_健喬.xls,2026-05-22 13:43:52,true,2026-05-22 13:43:42,0,success,
ShowMonthlyK_ChartFlow_6510_精測.xls,2026-05-22 13:47:22,true,2026-05-22 13:47:14,0,success,
ShowMonthlyK_ChartFlow_5274_信驊.xls,2026-05-18 02:37:12,true,2026-05-18 02:37:04,0,success,
ShowMonthlyK_ChartFlow_9921_巨大.xls,2026-05-18 02:21:30,false,2026-06-17 15:43:44 CST,1,rate_limited,GoodInfo rate limited request / 瀏覽量異常
ShowMonthlyK_ChartFlow_3356_奇偶.xls,2026-06-17 15:41:40 CST,true,2026-06-17 15:41:33 CST,0,success,
ShowMonthlyK_ChartFlow_2454_聯發科.xls,2026-06-17 15:38:29 CST,true,2026-06-17 15:38:22 CST,0,success,
ShowMonthlyK_ChartFlow_2324_仁寶.xls,2026-06-17 15:34:01 CST,true,2026-06-17 15:33:54 CST,0,success,
ShowMonthlyK_ChartFlow_6669_緯穎.xls,2026-05-18 02:23:08,true,2026-05-18 02:23:01,0,success,
ShowMonthlyK_ChartFlow_6902_GOGOLOOK.xls,2026-05-22 13:45:32,true,2026-05-22 13:45:25,0,success,
ShowMonthlyK_ChartFlow_8016_矽創.xls,2026-05-18 02:32:29,true,2026-05-18 02:32:22,0,success,
ShowMonthlyK_ChartFlow_7547_碩網.xls,2026-05-18 02:37:36,true,2026-05-18 02:37:29,0,success,
ShowMonthlyK_ChartFlow_2301_光寶科.xls,2026-05-18 02:22:31,true,2026-05-18 02:22:24,0,success,
ShowMonthlyK_ChartFlow_6442_光聖.xls,2026-05-18 02:35:21,true,2026-05-18 02:35:13,0,success,
ShowMonthlyK_ChartFlow_2412_中華電.xls,2026-06-17 15:37:49 CST,true,2026-06-17 15:37:42 CST,0,success,
ShowMonthlyK_ChartFlow_7736_虎山.xls,2026-05-18 02:38:01,true,2026-05-18 02:37:53,0,success,
ShowMonthlyK_ChartFlow_2458_義隆.xls,2026-06-17 15:38:46 CST,true,2026-06-17 15:38:39 CST,0,success,
ShowMonthlyK_ChartFlow_2317_鴻海.xls,2026-06-17 15:33:42 CST,true,2026-06-17 15:33:35 CST,0,success,
ShowMonthlyK_ChartFlow_6526_達發.xls,2026-05-18 02:22:19,true,2026-05-18 02:22:12,0,success,
ShowMonthlyK_ChartFlow_6035_悠遊卡.xls,2026-05-18 02:29:37,true,2026-05-18 02:29:30,0,success,
ShowMonthlyK_ChartFlow_3045_台灣大.xls,2026-06-17 15:40:41 CST,true,2026-06-17 15:40:34 CST,0,success,
ShowMonthlyK_ChartFlow_6720_久昌.xls,2026-05-18 02:31:03,true,2026-05-18 02:30:56,0,success,
ShowMonthlyK_ChartFlow_2382_廣達.xls,2026-06-17 15:36:54 CST,true,2026-06-17 15:36:47 CST,0,success,
ShowMonthlyK_ChartFlow_3022_威強電.xls,2026-06-17 15:39:44 CST,true,2026-06-17 15:39:36 CST,0,success,
ShowMonthlyK_ChartFlow_2337_旺宏.xls,2026-05-18 02:31:40,true,2026-05-18 02:31:33,0,success,
ShowMonthlyK_ChartFlow_6123_上奇.xls,2026-05-18 02:33:42,true,2026-05-18 02:33:35,0,success,
ShowMonthlyK_ChartFlow_7747_昕奇雲端.xls,2026-05-18 02:33:30,true,2026-05-18 02:33:23,0,success,
ShowMonthlyK_ChartFlow_7734_印能科技.xls,2026-05-18 02:37:48,true,2026-05-18 02:37:41,0,success,
ShowMonthlyK_ChartFlow_6757_台灣虎航.xls,2026-05-18 02:32:04,true,2026-05-18 02:31:57,0,success,
ShowMonthlyK_ChartFlow_6751_智聯服務.xls,2026-05-18 02:35:08,true,2026-05-18 02:35:01,0,success,
ShowMonthlyK_ChartFlow_7703_銳澤.xls,2026-05-18 02:29:00,true,2026-05-18 02:28:53,0,success,
ShowMonthlyK_ChartFlow_4953_緯軟.xls,2026-05-18 02:26:22,true,2026-05-18 02:25:14,1,success,
ShowMonthlyK_ChartFlow_2303_聯電.xls,2026-05-18 02:28:23,true,2026-05-18 02:28:16,0,success,
ShowMonthlyK_ChartFlow_6811_宏碁資訊.xls,2026-05-18 02:34:20,true,2026-05-18 02:34:12,0,success,
ShowMonthlyK_ChartFlow_2646_星宇航空.xls,2026-05-18 02:25:09,true,2026-05-18 02:25:02,0,success,
ShowMonthlyK_ChartFlow_7749_意騰-KY.xls,2026-05-22 13:46:25,true,2026-05-22 13:46:15,0,success,
ShowMonthlyK_ChartFlow_2330_台積電.xls,2026-06-17 15:34:22 CST,true,2026-06-17 15:34:14 CST,0,success,
ShowMonthlyK_ChartFlow_7794_宏碁智新.xls,2026-05-18 02:31:15,true,2026-05-18 02:31:08,0,success,
ShowMonthlyK_ChartFlow_7737_凱鈿.xls,2026-05-22 13:44:28,true,2026-05-22 13:44:21,0,success,
ShowMonthlyK_ChartFlow_7708_全家餐飲.xls,2026-05-18 02:28:36,true,2026-05-18 02:28:28,0,success,
ShowMonthlyK_ChartFlow_6182_合晶.xls,2026-05-18 02:30:14,true,2026-05-18 02:30:07,0,success,
ShowMonthlyK_ChartFlow_5536_聖暉.xls,2026-05-18 02:36:11,true,2026-05-18 02:36:03,0,success,
ShowMonthlyK_ChartFlow_2376_技嘉.xls,2026-06-17 15:36:00 CST,true,2026-06-17 15:35:50 CST,0,success,
ShowMonthlyK_ChartFlow_2332_友訊.xls,2026-05-18 02:35:46,true,2026-05-18 02:35:39,0,success,
ShowMonthlyK_ChartFlow_6925_意藍.xls,2026-05-22 13:46:04,true,2026-05-22 13:45:56,0,success,
ShowMonthlyK_ChartFlow_3158_嘉實.xls,2026-05-18 02:29:25,true,2026-05-18 02:29:17,0,success,
ShowMonthlyK_ChartFlow_3653_健策.xls,2026-05-22 13:50:09,true,2026-05-22 13:50:02,0,success,
ShowMonthlyK_ChartFlow_3026_禾伸堂.xls,2026-06-17 15:40:03 CST,true,2026-06-17 15:39:56 CST,0,success,
ShowMonthlyK_ChartFlow_3443_創意.xls,2026-05-18 02:31:52,true,2026-05-18 02:31:45,0,success,
ShowMonthlyK_ChartFlow_7769_鴻勁.xls,2026-05-22 13:42:00,true,2026-05-22 13:41:53,0,success,
ShowMonthlyK_ChartFlow_3558_神準.xls,2026-05-18 02:27:59,true,2026-05-18 02:26:51,1,success,
ShowMonthlyK_ChartFlow_6561_是方.xls,2026-05-18 02:24:33,true,2026-05-18 02:24:26,0,success,
ShowMonthlyK_ChartFlow_6425_易發.xls,2026-05-18 02:33:55,true,2026-05-18 02:33:47,0,success,
ShowMonthlyK_ChartFlow_2383_台光電.xls,2026-05-22 13:42:30,true,2026-05-22 13:42:09,0,success,
ShowMonthlyK_ChartFlow_2451_創見.xls,2026-06-17 15:38:09 CST,true,2026-06-17 15:38:01 CST,0,success,
ShowMonthlyK_ChartFlow_6125_廣運.xls,2026-05-18 02:36:23,true,2026-05-18 02:36:16,0,success,
ShowMonthlyK_ChartFlow_3467_台灣精材.xls,2026-05-22 13:44:10,true,2026-05-22 13:44:03,0,success,
ShowMonthlyK_ChartFlow_3711_日月光投控.xls,2026-05-22 13:49:17,true,2026-05-22 13:49:08,0,success,
ShowMonthlyK_ChartFlow_5434_崇越.xls,2026-05-18 02:22:07,true,2026-05-18 02:22:00,0,success,
ShowMonthlyK_ChartFlow_6850_光鼎生技.xls,2026-05-22 13:45:10,true,2026-05-22 13:45:02,0,success,
ShowMonthlyK_ChartFlow_3231_緯創.xls,2026-06-17 15:41:19 CST,true,2026-06-17 15:41:11 CST,0,success,
ShowMonthlyK_ChartFlow_7722_LINEPAY.xls,2026-05-18 02:29:49,true,2026-05-18 02:29:42,0,success,
ShowMonthlyK_ChartFlow_3293_鈊象.xls,2026-05-18 02:36:59,true,2026-05-18 02:36:52,0,success,
ShowMonthlyK_ChartFlow_2603_長榮.xls,2026-05-18 02:37:24,true,2026-05-18 02:37:17,0,success,
ShowMonthlyK_ChartFlow_2480_敦陽科.xls,2026-06-17 15:39:24 CST,true,2026-06-17 15:39:17 CST,0,success,
ShowMonthlyK_ChartFlow_6285_啟碁.xls,2026-06-17 15:42:56 CST,true,2026-06-17 15:42:49 CST,0,success,
ShowMonthlyK_ChartFlow_2395_研華.xls,2026-06-17 15:37:12 CST,true,2026-06-17 15:37:04 CST,0,success,
ShowMonthlyK_ChartFlow_2344_華邦電.xls,2026-05-18 02:31:28,true,2026-05-18 02:31:20,0,success,
ShowMonthlyK_ChartFlow_2884_玉山金.xls,2026-05-22 13:48:53,true,2026-05-22 13:48:46,0,success,
ShowMonthlyK_ChartFlow_2345_智邦.xls,2026-05-22 13:47:02,true,2026-05-22 13:46:54,0,success,
ShowMonthlyK_ChartFlow_3029_零壹.xls,2026-05-18 02:34:32,true,2026-05-18 02:34:25,0,success,
ShowMonthlyK_ChartFlow_7712_博盛半導體.xls,2026-05-18 02:34:07,true,2026-05-18 02:34:00,0,success,
ShowMonthlyK_ChartFlow_4749_新應材.xls,2026-05-18 02:33:18,true,2026-05-18 02:33:11,0,success,
ShowMonthlyK_ChartFlow_7805_威聯通.xls,2026-05-18 02:35:58,true,2026-05-18 02:35:51,0,success,
ShowMonthlyK_ChartFlow_2308_台達電.xls,2026-06-17 15:33:20 CST,true,2026-06-17 15:33:10 CST,0,success,
ShowMonthlyK_ChartFlow_7713_威力德生醫.xls,2026-05-22 13:43:11,true,2026-05-22 13:43:04,0,success,
ShowMonthlyK_ChartFlow_6462_神盾.xls,2026-06-17 15:43:13 CST,true,2026-06-17 15:43:06 CST,0,success,
ShowMonthlyK_ChartFlow_3014_聯陽.xls,2026-05-18 02:30:51,true,2026-05-18 02:30:44,0,success,
ShowMonthlyK_ChartFlow_2882_國泰金.xls,2026-05-22 13:48:20,true,2026-05-22 13:48:11,0,success,
ShowMonthlyK_ChartFlow_2891_中信金.xls,2026-05-22 13:48:36,true,2026-05-22 13:48:28,0,success,
ShowMonthlyK_ChartFlow_2360_致茂.xls,2026-05-22 13:49:52,true,2026-05-22 13:49:45,0,success,
ShowMonthlyK_ChartFlow_7705_三商餐飲.xls,2026-05-18 02:30:39,true,2026-05-18 02:30:31,0,success,
ShowMonthlyK_ChartFlow_9914_美利達.xls,2026-06-17 15:43:31 CST,true,2026-06-17 15:43:24 CST,0,success,
ShowMonthlyK_ChartFlow_2353_宏碁.xls,2026-05-18 02:29:12,true,2026-05-18 02:29:05,0,success,
ShowMonthlyK_ChartFlow_6506_雙邦.xls,2026-05-18 02:36:47,true,2026-05-18 02:36:40,0,success,
ShowMonthlyK_ChartFlow_6918_愛派司.xls,2026-05-22 13:45:48,true,2026-05-22 13:45:40,0,success,
ShowMonthlyK_ChartFlow_6231_系微.xls,2026-05-18 02:26:34,true,2026-05-18 02:26:27,0,success,
ShowMonthlyK_ChartFlow_3034_聯詠.xls,2026-06-17 15:40:23 CST,true,2026-06-17 15:40:16 CST,0,success,
ShowMonthlyK_ChartFlow_9917_中保科.xls,2026-05-18 02:26:46,true,2026-05-18 02:26:39,0,success,
ShowMonthlyK_ChartFlow_6695_芯鼎.xls,2026-05-18 02:24:21,true,2026-05-18 02:23:13,1,success,
ShowMonthlyK_ChartFlow_2354_鴻準.xls,2026-06-17 15:34:59 CST,true,2026-06-17 15:34:51 CST,0,success,
ShowMonthlyK_ChartFlow_3035_智原.xls,2026-05-18 02:22:44,true,2026-05-18 02:22:36,0,success,
ShowMonthlyK_ChartFlow_5904_寶雅.xls,2026-05-18 02:30:02,true,2026-05-18 02:29:54,0,success,
ShowMonthlyK_ChartFlow_6996_力領科技.xls,2026-05-18 02:32:17,true,2026-05-18 02:32:09,0,success,
ShowMonthlyK_ChartFlow_7709_榮田.xls,2026-05-22 13:42:50,true,2026-05-22 13:42:43,0,success,
ShowMonthlyK_ChartFlow_5203_訊連.xls,2026-06-17 15:42:18 CST,true,2026-06-17 15:42:11 CST,0,success,
ShowMonthlyK_ChartFlow_2359_所羅門.xls,2026-05-18 02:36:35,true,2026-05-18 02:36:28,0,success,
ShowMonthlyK_ChartFlow_6997_博弘.xls,2026-05-18 02:33:06,true,2026-05-18 02:32:59,0,success,
