filename,last_update_time,success,process_time,retry_count,status,error_reason
ShowSaleMonChart_6902_GOGOLOOK.xls,2026-08-09 13:31:15 CST,true,2026-08-09 13:31:05 CST,0,success,
ShowSaleMonChart_2450_神腦.xls,2026-08-10 14:10:19 CST,true,2026-08-10 14:08:54 CST,1,success,
ShowSaleMonChart_6757_台灣虎航.xls,2026-08-09 12:54:54 CST,false,2026-08-10 14:17:56 CST,1,retryable_failed,退出碼 1 - ❌ 失敗 Download failed for 6757 after 10.6 seconds
ShowSaleMonChart_6695_芯鼎.xls,2026-08-09 12:37:37 CST,false,2026-08-10 13:46:52 CST,1,retryable_failed,退出碼 1 - ❌ 失敗 Download failed for 6695 after 56.5 seconds
ShowSaleMonChart_5203_訊連.xls,2026-08-09 13:08:15 CST,true,2026-08-09 13:08:04 CST,0,success,
ShowSaleMonChart_8234_新漢.xls,2026-08-10 13:59:27 CST,true,2026-08-10 13:58:00 CST,1,success,
ShowSaleMonChart_4114_健喬.xls,2026-08-09 13:25:19 CST,true,2026-08-09 13:25:08 CST,0,success,
ShowSaleMonChart_2881_富邦金.xls,2026-08-09 12:56:38 CST,false,2026-08-10 14:21:01 CST,1,retryable_failed,退出碼 1 - ❌ 失敗 Download failed for 2881 after 10.1 seconds
ShowSaleMonChart_2347_聯強.xls,2026-08-10 14:31:09 CST,true,2026-08-10 14:31:00 CST,0,success,
ShowSaleMonChart_6811_宏碁資訊.xls,2026-08-09 13:24:22 CST,true,2026-08-09 13:24:12 CST,0,success,
ShowSaleMonChart_7704_明遠精密.xls,2026-08-09 13:25:55 CST,true,2026-08-09 13:25:46 CST,0,success,
ShowSaleMonChart_2451_創見.xls,2026-08-09 13:19:58 CST,true,2026-08-09 13:19:47 CST,0,success,
ShowSaleMonChart_2376_技嘉.xls,2026-08-09 13:20:53 CST,true,2026-08-09 13:20:43 CST,0,success,
ShowSaleMonChart_7709_榮田.xls,2026-08-10 14:16:12 CST,true,2026-08-10 14:16:02 CST,0,success,
ShowSaleMonChart_7732_金興精密.xls,2026-08-09 12:58:25 CST,false,2026-08-10 14:24:01 CST,1,retryable_failed,退出碼 1 - ❌ 失敗 Download failed for 7732 after 9.5 seconds
