filename,last_update_time,success,process_time,retry_count,status,error_reason
ShowWeeklyK_ChartFlow_2357_華碩.xls,2026-07-24 13:45:50 CST,true,2026-07-24 13:45:42 CST,0,success,
ShowWeeklyK_ChartFlow_2347_聯強.xls,2026-07-24 13:54:52 CST,true,2026-07-24 13:54:45 CST,0,success,
ShowWeeklyK_ChartFlow_9917_中保科.xls,2026-07-24 14:11:22 CST,true,2026-07-24 14:11:16 CST,0,success,
ShowWeeklyK_ChartFlow_3653_健策.xls,2026-07-24 13:41:08 CST,true,2026-07-24 13:41:01 CST,0,success,
ShowWeeklyK_ChartFlow_6510_精測.xls,2026-07-08 00:53:24 CST,false,2026-07-24 14:23:24 CST,1,rate_limited,GoodInfo rate limited request / 瀏覽量異常
ShowWeeklyK_ChartFlow_2330_台積電.xls,2026-07-24 13:43:34 CST,true,2026-07-24 13:43:28 CST,0,success,
ShowWeeklyK_ChartFlow_2360_致茂.xls,2026-07-24 14:10:44 CST,true,2026-07-24 14:10:37 CST,0,success,
ShowWeeklyK_ChartFlow_2881_富邦金.xls,2026-07-24 14:11:56 CST,true,2026-07-24 14:11:49 CST,0,success,
ShowWeeklyK_ChartFlow_8454_富邦媒.xls,2026-07-24 14:13:24 CST,true,2026-07-24 14:13:17 CST,0,success,
ShowWeeklyK_ChartFlow_5434_崇越.xls,2026-07-24 13:37:58 CST,true,2026-07-24 13:37:50 CST,0,success,
ShowWeeklyK_ChartFlow_2324_仁寶.xls,2026-07-24 14:09:09 CST,true,2026-07-24 14:09:02 CST,0,success,
ShowWeeklyK_ChartFlow_4749_新應材.xls,2026-07-08 00:39:58 CST,false,2026-07-24 14:13:34 CST,1,rate_limited,GoodInfo rate limited request / 瀏覽量異常
ShowWeeklyK_ChartFlow_7805_威聯通.xls,2026-07-24 14:08:01 CST,true,2026-07-24 14:07:55 CST,0,success,
ShowWeeklyK_ChartFlow_6182_合晶.xls,2026-07-24 13:52:38 CST,true,2026-07-24 13:52:32 CST,0,success,
ShowWeeklyK_ChartFlow_3026_禾伸堂.xls,2026-07-24 14:12:32 CST,true,2026-07-24 14:12:25 CST,0,success,
ShowWeeklyK_ChartFlow_3443_創意.xls,2026-07-24 14:08:19 CST,true,2026-07-24 14:08:12 CST,0,success,
ShowWeeklyK_ChartFlow_6690_安碁資訊.xls,2026-07-24 14:07:03 CST,true,2026-07-24 14:06:52 CST,0,success,
ShowWeeklyK_ChartFlow_4938_和碩.xls,2026-07-24 13:53:56 CST,true,2026-07-24 13:53:49 CST,0,success,
ShowWeeklyK_ChartFlow_7794_宏碁智新.xls,2026-07-24 13:37:03 CST,true,2026-07-24 13:36:55 CST,0,success,
ShowWeeklyK_ChartFlow_2882_國泰金.xls,2026-07-24 13:58:45 CST,true,2026-07-24 13:58:39 CST,0,success,
ShowWeeklyK_ChartFlow_6462_神盾.xls,2026-07-24 14:07:42 CST,true,2026-07-24 14:07:35 CST,0,success,
ShowWeeklyK_ChartFlow_6285_啟碁.xls,2026-07-24 14:06:02 CST,true,2026-07-24 14:05:55 CST,0,success,
ShowWeeklyK_ChartFlow_6720_久昌.xls,2026-07-24 13:55:28 CST,true,2026-07-24 13:55:21 CST,0,success,
ShowWeeklyK_ChartFlow_2354_鴻準.xls,2026-07-24 13:36:41 CST,true,2026-07-24 13:36:34 CST,0,success,
ShowWeeklyK_ChartFlow_6757_台灣虎航.xls,2026-07-24 13:58:09 CST,true,2026-07-24 13:58:03 CST,0,success,
ShowWeeklyK_ChartFlow_3034_聯詠.xls,2026-07-24 14:13:05 CST,true,2026-07-24 14:12:59 CST,0,success,
ShowWeeklyK_ChartFlow_6526_達發.xls,2026-07-08 00:27:56 CST,false,2026-07-15 05:56:44 CST,1,retryable_failed,退出碼 1 - ❌ 失敗 Download failed for 6526 after 56.4 seconds
ShowWeeklyK_ChartFlow_3035_智原.xls,2026-07-24 13:35:29 CST,true,2026-07-24 13:35:21 CST,0,success,
ShowWeeklyK_ChartFlow_6669_緯穎.xls,2026-07-24 14:00:16 CST,true,2026-07-24 14:00:07 CST,0,success,
ShowWeeklyK_ChartFlow_6763_綠界科技.xls,2026-07-24 13:57:36 CST,true,2026-07-24 13:57:29 CST,0,success,
ShowWeeklyK_ChartFlow_6925_意藍.xls,2026-07-24 13:43:16 CST,true,2026-07-24 13:43:10 CST,0,success,
ShowWeeklyK_ChartFlow_6561_是方.xls,2026-07-24 13:40:52 CST,true,2026-07-24 13:40:43 CST,0,success,
ShowWeeklyK_ChartFlow_2891_中信金.xls,2026-07-08 00:54:40 CST,false,2026-07-15 07:41:40 CST,1,retryable_failed,退出碼 1 - ❌ 失敗 Download failed for 2891 after 56.4 seconds
ShowWeeklyK_ChartFlow_7734_印能科技.xls,2026-07-08 00:46:57 CST,false,2026-07-24 14:20:48 CST,1,rate_limited,GoodInfo rate limited request / 瀏覽量異常
ShowWeeklyK_ChartFlow_7736_虎山.xls,2026-07-24 13:34:35 CST,true,2026-07-24 13:34:29 CST,0,success,
ShowWeeklyK_ChartFlow_3014_聯陽.xls,2026-07-24 13:47:39 CST,true,2026-07-24 13:47:32 CST,0,success,
ShowWeeklyK_ChartFlow_2412_中華電.xls,2026-07-24 14:09:46 CST,true,2026-07-24 14:09:39 CST,0,success,
ShowWeeklyK_ChartFlow_2332_友訊.xls,2026-07-24 14:00:56 CST,true,2026-07-24 14:00:49 CST,0,success,
ShowWeeklyK_ChartFlow_3045_台灣大.xls,2026-07-24 13:52:03 CST,true,2026-07-24 13:51:54 CST,0,success,
ShowWeeklyK_ChartFlow_2408_南亞科.xls,2026-07-24 13:41:29 CST,true,2026-07-24 13:41:22 CST,0,success,
ShowWeeklyK_ChartFlow_7709_榮田.xls,2026-07-24 13:46:06 CST,true,2026-07-24 13:45:59 CST,0,success,
ShowWeeklyK_ChartFlow_7547_碩網.xls,2026-07-24 14:02:50 CST,true,2026-07-24 14:02:43 CST,0,success,
ShowWeeklyK_ChartFlow_6811_宏碁資訊.xls,2026-07-24 14:01:18 CST,true,2026-07-24 14:01:11 CST,0,success,
ShowWeeklyK_ChartFlow_3231_緯創.xls,2026-07-08 01:09:28 CST,false,2026-07-24 13:43:44 CST,1,retryable_failed,退出碼 1 - ❌ 失敗 Download failed for 3231 after 56.3 seconds
ShowWeeklyK_ChartFlow_6425_易發.xls,2026-07-24 13:52:23 CST,true,2026-07-24 13:52:16 CST,0,success,
ShowWeeklyK_ChartFlow_3260_威剛.xls,2026-07-24 13:35:13 CST,true,2026-07-24 13:35:04 CST,0,success,
ShowWeeklyK_ChartFlow_8045_達運光電.xls,2026-07-24 13:56:09 CST,true,2026-07-24 13:56:01 CST,0,success,
ShowWeeklyK_ChartFlow_2345_智邦.xls,2026-07-08 00:53:01 CST,false,2026-07-15 07:35:15 CST,1,retryable_failed,退出碼 1 - ❌ 失敗 Download failed for 2345 after 56.4 seconds
ShowWeeklyK_ChartFlow_3661_世芯-KY.xls,2026-07-24 13:58:26 CST,true,2026-07-24 13:58:19 CST,0,success,
ShowWeeklyK_ChartFlow_3467_台灣精材.xls,2026-07-08 00:50:11 CST,false,2026-07-15 07:24:00 CST,1,retryable_failed,退出碼 1 - ❌ 失敗 Download failed for 3467 after 56.5 seconds
ShowWeeklyK_ChartFlow_7749_意騰-KY.xls,2026-07-24 13:57:19 CST,true,2026-07-24 13:57:12 CST,0,success,
ShowWeeklyK_ChartFlow_6125_廣運.xls,2026-07-24 13:54:17 CST,true,2026-07-24 13:54:10 CST,0,success,
ShowWeeklyK_ChartFlow_5269_祥碩.xls,2026-07-24 13:36:02 CST,true,2026-07-24 13:35:56 CST,0,success,
ShowWeeklyK_ChartFlow_6231_系微.xls,2026-07-24 14:01:36 CST,true,2026-07-24 14:01:29 CST,0,success,
ShowWeeklyK_ChartFlow_7728_光焱科技.xls,2026-07-24 14:05:07 CST,true,2026-07-24 14:05:01 CST,0,success,
ShowWeeklyK_ChartFlow_3558_神準.xls,2026-07-08 00:32:14 CST,false,2026-07-15 06:13:35 CST,1,retryable_failed,退出碼 1 - ❌ 失敗 Download failed for 3558 after 56.4 seconds
ShowWeeklyK_ChartFlow_2356_英業達.xls,2026-07-08 00:59:10 CST,false,2026-07-15 07:59:35 CST,1,retryable_failed,退出碼 1 - ❌ 失敗 Download failed for 2356 after 56.3 seconds
ShowWeeklyK_ChartFlow_5274_信驊.xls,2026-07-24 13:59:38 CST,true,2026-07-24 13:59:31 CST,0,success,
