filename,last_update_time,success,process_time,retry_count,status,error_reason
WeeklyTradingData_8454_富邦媒.xls,2026-08-07 18:55:56 CST,true,2026-08-07 18:55:46 CST,0,success,
WeeklyTradingData_5536_聖暉.xls,2026-08-07 19:15:43 CST,true,2026-08-07 19:15:05 CST,0,success,
WeeklyTradingData_5269_祥碩.xls,2026-08-07 19:23:45 CST,true,2026-08-07 19:23:33 CST,0,success,
WeeklyTradingData_3231_緯創.xls,2026-08-07 19:01:57 CST,true,2026-08-07 19:01:47 CST,0,success,
WeeklyTradingData_7713_威力德生醫.xls,2026-08-07 19:38:40 CST,true,2026-08-07 19:38:03 CST,0,success,
WeeklyTradingData_7736_虎山.xls,2026-08-14 19:35:15 CST,true,2026-08-14 19:35:03 CST,0,success,
WeeklyTradingData_6506_雙邦.xls,2026-08-07 19:20:49 CST,true,2026-08-07 19:20:36 CST,0,success,
WeeklyTradingData_6770_力積電.xls,2026-08-07 22:06:25 CST,true,2026-08-07 22:06:14 CST,0,success,
WeeklyTradingData_2332_友訊.xls,2026-08-07 19:03:10 CST,true,2026-08-07 19:02:59 CST,0,success,
WeeklyTradingData_2337_旺宏.xls,2026-08-07 19:16:55 CST,true,2026-08-07 19:16:45 CST,0,success,
WeeklyTradingData_2376_技嘉.xls,2026-08-07 18:58:59 CST,true,2026-08-07 18:58:50 CST,0,success,
WeeklyTradingData_6526_達發.xls,2026-08-07 22:01:03 CST,true,2026-08-07 22:00:52 CST,0,success,
WeeklyTradingData_6035_悠遊卡.xls,2026-08-07 19:09:01 CST,true,2026-08-07 19:08:50 CST,0,success,
WeeklyTradingData_7769_鴻勁.xls,2026-08-07 19:12:25 CST,true,2026-08-07 19:12:13 CST,0,success,
WeeklyTradingData_2474_可成.xls,2026-08-07 19:03:34 CST,true,2026-08-07 19:03:23 CST,0,success,
WeeklyTradingData_2303_聯電.xls,2026-08-07 19:01:37 CST,true,2026-08-07 19:00:59 CST,0,success,
WeeklyTradingData_2405_輔信.xls,2026-08-07 19:24:20 CST,true,2026-08-07 19:23:57 CST,0,success,
WeeklyTradingData_3034_聯詠.xls,2026-08-07 19:11:42 CST,true,2026-08-07 19:11:32 CST,0,success,
WeeklyTradingData_3665_貿聯-KY.xls,2026-08-07 19:41:24 CST,true,2026-08-07 19:41:13 CST,0,success,
WeeklyTradingData_7747_昕奇雲端.xls,2026-08-14 19:40:01 CST,true,2026-08-14 19:39:47 CST,0,success,
WeeklyTradingData_2884_玉山金.xls,2026-08-07 22:13:39 CST,true,2026-08-07 22:13:27 CST,0,success,
WeeklyTradingData_2345_智邦.xls,2026-08-07 18:55:37 CST,true,2026-08-07 18:55:24 CST,0,success,
WeeklyTradingData_3150_鈺寶-創.xls,2026-08-14 19:59:28 CST,true,2026-08-14 19:59:18 CST,0,success,
WeeklyTradingData_7734_印能科技.xls,2026-08-07 19:18:57 CST,true,2026-08-07 19:18:19 CST,0,success,
WeeklyTradingData_6962_奕力-KY.xls,2026-08-07 18:57:52 CST,true,2026-08-07 18:57:41 CST,0,success,
WeeklyTradingData_7794_宏碁智新.xls,2026-08-07 19:12:02 CST,true,2026-08-07 19:11:53 CST,0,success,
WeeklyTradingData_2458_義隆.xls,2026-08-07 19:16:07 CST,true,2026-08-07 19:15:56 CST,0,success,
WeeklyTradingData_7737_凱鈿.xls,2026-08-07 19:46:24 CST,true,2026-08-07 19:45:53 CST,0,success,
WeeklyTradingData_7765_中華資安.xls,2026-08-07 19:20:22 CST,true,2026-08-07 19:19:44 CST,0,success,
WeeklyTradingData_6245_立端.xls,2026-08-07 22:04:32 CST,true,2026-08-07 22:04:16 CST,0,success,
WeeklyTradingData_6850_光鼎生技.xls,2026-08-07 18:58:16 CST,true,2026-08-07 18:58:05 CST,0,success,
WeeklyTradingData_6425_易發.xls,2026-08-07 22:10:12 CST,true,2026-08-07 22:10:01 CST,0,success,
WeeklyTradingData_5434_崇越.xls,2026-08-07 18:59:21 CST,true,2026-08-07 18:59:08 CST,0,success,
WeeklyTradingData_5904_寶雅.xls,2026-08-14 20:08:51 CST,true,2026-08-14 20:08:36 CST,0,success,
WeeklyTradingData_2344_華邦電.xls,2026-08-07 22:09:28 CST,true,2026-08-07 22:09:16 CST,0,success,
WeeklyTradingData_5347_世界.xls,2026-08-07 22:06:05 CST,true,2026-08-07 22:05:53 CST,0,success,
WeeklyTradingData_2301_光寶科.xls,2026-08-07 22:08:12 CST,true,2026-08-07 22:08:01 CST,0,success,
WeeklyTradingData_3029_零壹.xls,2026-08-07 18:59:41 CST,true,2026-08-07 18:59:31 CST,0,success,
WeeklyTradingData_3356_奇偶.xls,2026-08-07 19:16:30 CST,true,2026-08-07 19:16:19 CST,0,success,
WeeklyTradingData_7805_威聯通.xls,2026-08-07 19:14:02 CST,true,2026-08-07 19:12:59 CST,0,success,
WeeklyTradingData_6231_系微.xls,2026-08-07 19:35:44 CST,true,2026-08-07 19:32:22 CST,1,success,
WeeklyTradingData_3022_威強電.xls,2026-08-07 19:05:04 CST,true,2026-08-07 19:04:34 CST,0,success,
WeeklyTradingData_3293_鈊象.xls,2026-08-07 19:05:29 CST,true,2026-08-07 19:05:18 CST,0,success,
WeeklyTradingData_3048_益登.xls,2026-08-07 22:10:59 CST,true,2026-08-07 22:10:41 CST,0,success,
WeeklyTradingData_6695_芯鼎.xls,2026-08-14 19:56:28 CST,true,2026-08-14 19:56:14 CST,0,success,
WeeklyTradingData_6811_宏碁資訊.xls,2026-08-07 19:08:08 CST,true,2026-08-07 19:07:58 CST,0,success,
WeeklyTradingData_3653_健策.xls,2026-08-07 22:02:34 CST,true,2026-08-07 22:02:20 CST,0,success,
